mode,game,run,seed,total_score,total1,total2
psbr,bos,1,500000,1241.0,511.0,730.0
psbr,bos,2,500001,1700.0,1000.0,700.0
psbr,bos,3,500002,1700.0,700.0,1000.0
psbr,bos,4,500003,1241.0,511.0,730.0
psbr,bos,5,500004,1411.0,581.0,830.0
psbr,bos,6,500005,1700.0,1000.0,700.0
psbr,bos,7,500006,1360.0,560.0,800.0
psbr,bos,8,500007,1700.0,1000.0,700.0
psbr,bos,9,500008,1547.0,637.0,910.0
psbr,bos,10,500009,1564.0,644.0,920.0
psbr,bos,11,500010,408.0,168.0,240.0
psbr,bos,12,500011,1547.0,637.0,910.0
psbr,bos,13,500012,1581.0,651.0,930.0
psbr,bos,14,500013,1700.0,1000.0,700.0
psbr,bos,15,500014,561.0,231.0,330.0
psbr,bos,16,500015,1411.0,581.0,830.0
psbr,bos,17,500016,1309.0,539.0,770.0
psbr,bos,18,500017,1428.0,588.0,840.0
psbr,bos,19,500018,1700.0,700.0,1000.0
psbr,bos,20,500019,1700.0,1000.0,700.0
psbr,bos,21,500020,935.0,385.0,550.0
psbr,bos,22,500021,1700.0,1000.0,700.0
psbr,bos,23,500022,1700.0,1000.0,700.0
psbr,bos,24,500023,1700.0,1000.0,700.0
psbr,bos,25,500024,1700.0,1000.0,700.0
psbr,bos,26,500025,1343.0,553.0,790.0
psbr,bos,27,500026,1411.0,581.0,830.0
psbr,bos,28,500027,1292.0,532.0,760.0
psbr,bos,29,500028,595.0,245.0,350.0
psbr,bos,30,500029,816.0,339.0,477.0
psbr,bos,31,500030,799.0,329.0,470.0
psbr,bos,32,500031,1071.0,441.0,630.0
psbr,bos,33,500032,1700.0,1000.0,700.0
psbr,bos,34,500033,1411.0,581.0,830.0
psbr,bos,35,500034,1190.0,490.0,700.0
psbr,bos,36,500035,1173.0,483.0,690.0
psbr,bos,37,500036,1479.0,609.0,870.0
psbr,bos,38,500037,1700.0,1000.0,700.0
psbr,bos,39,500038,1683.0,990.0,693.0
psbr,bos,40,500039,1462.0,602.0,860.0
psbr,bos,41,500040,1173.0,483.0,690.0
psbr,bos,42,500041,1343.0,553.0,790.0
psbr,bos,43,500042,850.0,350.0,500.0
psbr,bos,44,500043,935.0,385.0,550.0
psbr,bos,45,500044,1700.0,1000.0,700.0
psbr,bos,46,500045,816.0,336.0,480.0
psbr,bos,47,500046,1700.0,1000.0,700.0
psbr,bos,48,500047,1003.0,413.0,590.0
psbr,bos,49,500048,1700.0,700.0,1000.0
psbr,bos,50,500049,969.0,399.0,570.0
psbr,bos,51,500050,1581.0,651.0,930.0
psbr,bos,52,500051,1156.0,476.0,680.0
psbr,bos,53,500052,1156.0,476.0,680.0
psbr,bos,54,500053,1700.0,1000.0,700.0
psbr,bos,55,500054,1700.0,1000.0,700.0
psbr,bos,56,500055,1700.0,1000.0,700.0
psbr,bos,57,500056,1258.0,518.0,740.0
psbr,bos,58,500057,1275.0,525.0,750.0
psbr,bos,59,500058,1479.0,609.0,870.0
psbr,bos,60,500059,1292.0,532.0,760.0
psbr,bos,61,500060,1700.0,1000.0,700.0
psbr,bos,62,500061,1700.0,1000.0,700.0
psbr,bos,63,500062,1224.0,504.0,720.0
psbr,bos,64,500063,1683.0,693.0,990.0
psbr,bos,65,500064,1581.0,651.0,930.0
psbr,bos,66,500065,952.0,392.0,560.0
psbr,bos,67,500066,476.0,196.0,280.0
psbr,bos,68,500067,1292.0,532.0,760.0
psbr,bos,69,500068,1496.0,616.0,880.0
psbr,bos,70,500069,1700.0,1000.0,700.0
psbr,bos,71,500070,1700.0,1000.0,700.0
psbr,bos,72,500071,1598.0,658.0,940.0
psbr,bos,73,500072,1173.0,483.0,690.0
psbr,bos,74,500073,1360.0,560.0,800.0
psbr,bos,75,500074,1037.0,427.0,610.0
psbr,bos,76,500075,578.0,238.0,340.0
psbr,bos,77,500076,1156.0,476.0,680.0
psbr,bos,78,500077,1700.0,700.0,1000.0
psbr,bos,79,500078,1241.0,511.0,730.0
psbr,bos,80,500079,1343.0,553.0,790.0
psbr,bos,81,500080,323.0,133.0,190.0
psbr,bos,82,500081,1700.0,1000.0,700.0
psbr,bos,83,500082,1258.0,518.0,740.0
psbr,bos,84,500083,1190.0,490.0,700.0
psbr,bos,85,500084,1700.0,1000.0,700.0
psbr,bos,86,500085,969.0,399.0,570.0
psbr,bos,87,500086,782.0,322.0,460.0
psbr,bos,88,500087,1700.0,1000.0,700.0
psbr,bos,89,500088,1700.0,1000.0,700.0
psbr,bos,90,500089,918.0,378.0,540.0
psbr,bos,91,500090,1700.0,1000.0,700.0
psbr,bos,92,500091,1462.0,602.0,860.0
psbr,bos,93,500092,1615.0,665.0,950.0
psbr,bos,94,500093,1275.0,525.0,750.0
psbr,bos,95,500094,17.0,10.0,7.0
psbr,bos,96,500095,1700.0,1000.0,700.0
psbr,bos,97,500096,1309.0,539.0,770.0
psbr,bos,98,500097,1564.0,644.0,920.0
psbr,bos,99,500098,1326.0,546.0,780.0
psbr,bos,100,500099,918.0,378.0,540.0
