round,player1,player2,answer1,answer2,points1,points2,total1,total2,psbr_strategy_p1,psbr_strategy_p2,psbr_value_c_p1,psbr_value_d_p1,psbr_value_c_p2,psbr_value_d_p2,psbr_samples,psbr_horizon,psbr_discount,psbr_sample_temperature,psbr_strategy_inference
1,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,1,1,1,1,alld,alld,20.0,41.0,39.0,40.0,5,20,1.0,0.8,llm-label
2,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,3,3,alld,alld,20.0,60.0,20.0,60.0,5,20,1.0,0.8,llm-label
3,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,5,5,alld,alld,0.0,40.0,19.0,40.0,5,20,1.0,0.8,llm-label
4,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,7,7,alld,alld,20.0,60.0,19.0,40.0,5,20,1.0,0.8,llm-label
5,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,9,9,alld,alld,19.0,40.0,0.0,40.0,5,20,1.0,0.8,llm-label
6,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,11,11,alld,alld,0.0,40.0,0.0,40.0,5,20,1.0,0.8,llm-label
7,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,13,13,alld,alld,20.0,60.0,19.0,40.0,5,20,1.0,0.8,llm-label
8,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,15,15,alld,alld,20.0,60.0,0.0,40.0,5,20,1.0,0.8,llm-label
9,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,17,17,alld,alld,0.0,40.0,20.0,60.0,5,20,1.0,0.8,llm-label
10,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,19,19,alld,alld,0.0,40.0,0.0,40.0,5,20,1.0,0.8,llm-label
11,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,21,21,alld,alld,20.0,60.0,20.0,60.0,5,20,1.0,0.8,llm-label
12,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,23,23,alld,alld,20.0,60.0,0.0,40.0,5,20,1.0,0.8,llm-label
13,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,25,25,alld,alld,20.0,60.0,0.0,40.0,5,20,1.0,0.8,llm-label
14,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,27,27,alld,alld,0.0,40.0,0.0,40.0,5,20,1.0,0.8,llm-label
15,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,29,29,alld,alld,20.0,60.0,0.0,40.0,5,20,1.0,0.8,llm-label
16,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,31,31,alld,alld,0.0,40.0,0.0,40.0,5,20,1.0,0.8,llm-label
17,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,33,33,alld,alld,0.0,40.0,0.0,40.0,5,20,1.0,0.8,llm-label
18,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,35,35,alld,alld,0.0,40.0,0.0,40.0,5,20,1.0,0.8,llm-label
19,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,37,37,alld,alld,0.0,40.0,20.0,60.0,5,20,1.0,0.8,llm-label
20,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,39,39,alld,alld,0.0,40.0,0.0,40.0,5,20,1.0,0.8,llm-label
21,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,41,41,alld,alld,0.0,40.0,0.0,40.0,5,20,1.0,0.8,llm-label
22,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,43,43,alld,alld,0.0,40.0,0.0,40.0,5,20,1.0,0.8,llm-label
23,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,45,45,alld,alld,20.0,60.0,0.0,40.0,5,20,1.0,0.8,llm-label
24,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,47,47,alld,alld,0.0,40.0,0.0,40.0,5,20,1.0,0.8,llm-label
25,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,49,49,alld,alld,20.0,60.0,0.0,40.0,5,20,1.0,0.8,llm-label
26,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,51,51,alld,alld,0.0,40.0,0.0,40.0,5,20,1.0,0.8,llm-label
27,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,53,53,alld,alld,0.0,40.0,0.0,40.0,5,20,1.0,0.8,llm-label
28,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,55,55,alld,alld,20.0,60.0,0.0,40.0,5,20,1.0,0.8,llm-label
29,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,57,57,alld,alld,0.0,40.0,0.0,40.0,5,20,1.0,0.8,llm-label
30,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,59,59,alld,alld,0.0,40.0,20.0,60.0,5,20,1.0,0.8,llm-label
31,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,61,61,alld,alld,0.0,40.0,0.0,40.0,5,20,1.0,0.8,llm-label
32,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,63,63,alld,alld,0.0,38.0,0.0,38.0,5,20,1.0,0.8,llm-label
33,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,65,65,alld,alld,18.0,54.0,0.0,36.0,5,20,1.0,0.8,llm-label
34,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,67,67,alld,alld,0.0,34.0,17.0,51.0,5,20,1.0,0.8,llm-label
35,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,69,69,alld,alld,0.0,32.0,0.0,32.0,5,20,1.0,0.8,llm-label
36,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,71,71,alld,alld,0.0,30.0,15.0,45.0,5,20,1.0,0.8,llm-label
37,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,73,73,alld,alld,0.0,28.0,0.0,28.0,5,20,1.0,0.8,llm-label
38,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,75,75,alld,alld,0.0,26.0,0.0,26.0,5,20,1.0,0.8,llm-label
39,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,77,77,alld,alld,0.0,24.0,0.0,24.0,5,20,1.0,0.8,llm-label
40,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,79,79,alld,alld,0.0,22.0,0.0,22.0,5,20,1.0,0.8,llm-label
41,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,81,81,alld,alld,0.0,20.0,10.0,30.0,5,20,1.0,0.8,llm-label
42,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,83,83,alld,alld,0.0,18.0,0.0,18.0,5,20,1.0,0.8,llm-label
43,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,85,85,alld,alld,0.0,16.0,0.0,16.0,5,20,1.0,0.8,llm-label
44,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,87,87,alld,alld,0.0,14.0,0.0,14.0,5,20,1.0,0.8,llm-label
45,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,89,89,alld,alld,0.0,12.0,0.0,12.0,5,20,1.0,0.8,llm-label
46,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,91,91,alld,alld,0.0,10.0,0.0,10.0,5,20,1.0,0.8,llm-label
47,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,93,93,alld,alld,0.0,8.0,0.0,8.0,5,20,1.0,0.8,llm-label
48,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,95,95,alld,alld,0.0,6.0,0.0,6.0,5,20,1.0,0.8,llm-label
49,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,97,97,generous_tft,alld,0.0,4.0,0.0,4.0,5,20,1.0,0.8,llm-label
50,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,2,2,99,99,alld,alld,0.0,2.0,0.0,2.0,5,20,1.0,0.8,llm-label
